,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
The Terminator,8.1,8.0,7.9,8.1,8.3,8.1,8.0,7.9,8.1,8.3,7.7,7.7,7.6,7.7,8.1,8.3,8.2,8.0
Spotlight,8.1,7.9,8.2,8.0,8.0,8.0,8.1,8.2,8.0,8.0,8.1,6.8,8.2,8.1,8.3,7.8,8.2,8.0
Rush,8.1,8.1,8.3,8.1,7.8,8.1,8.2,8.3,8.1,7.8,8.0,7.4,8.2,8.0,7.9,7.4,7.9,8.1
Network,8.1,8.4,8.2,8.1,8.0,8.1,8.6,8.2,8.1,8.0,7.9,7.1,8.0,7.8,8.0,7.7,8.3,8.0
Logan,8.1,8.6,8.4,7.9,7.7,8.0,8.6,8.4,8.0,7.7,7.9,8.3,8.2,7.8,7.7,7.7,8.2,7.9
Into the Wild,8.1,8.2,8.2,8.1,7.7,8.1,8.5,8.2,8.1,7.7,8.1,6.7,8.3,8.1,7.9,7.2,7.9,8.1
The Wizard of Oz,8.1,8.1,7.9,8.0,8.4,8.0,8.1,7.9,7.9,8.3,8.2,7.7,7.9,8.2,8.7,8.2,8.5,7.8
Ratatouille,8.1,8.4,8.2,8.0,7.9,8.0,8.4,8.2,8.0,7.9,8.1,8.5,8.2,8.1,8.0,7.7,8.1,8.0
Groundhog Day,8.1,8.2,7.9,8.1,8.2,8.1,8.2,8.0,8.1,8.2,7.7,8.0,7.5,7.7,7.9,8.1,8.2,8.0
Before Sunset,8.1,8.8,8.3,8.1,7.7,8.1,8.8,8.3,8.1,7.7,8.0,8.5,8.1,8.0,7.7,7.1,8.2,8.0
The Exorcist,8.1,7.8,7.9,8.0,8.2,8.1,7.9,8.0,8.0,8.3,7.8,7.6,7.6,7.8,8.1,8.0,8.3,8.0
The Best Years of Our Lives,8.1,7.3,8.1,8.0,8.4,8.1,8.2,8.1,8.0,8.3,8.3,5.7,8.0,8.1,8.6,7.9,8.5,7.9
The Incredibles,8.0,8.2,8.2,7.9,8.1,8.0,8.3,8.2,7.9,8.1,7.9,8.0,8.0,7.8,8.0,7.8,8.3,7.9
To Be or Not to Be,8.2,7.0,8.2,8.2,8.1,8.2,7.6,8.2,8.2,8.1,8.1,5.7,8.2,8.1,8.2,7.8,8.1,8.2
The Battle of Algiers,8.1,7.3,8.1,8.1,8.1,8.1,7.7,8.1,8.1,8.1,8.0,6.4,7.9,7.9,8.2,7.6,8.2,8.1
Rebecca,8.1,7.9,8.1,8.0,8.2,8.0,8.5,8.0,8.0,8.1,8.3,6.3,8.2,8.2,8.5,7.9,8.2,8.0
The Grapes of Wrath,8.1,6.9,8.0,8.0,8.3,8.1,7.2,8.0,8.0,8.3,8.0,6.6,7.8,7.8,8.3,8.1,8.2,8.0
Hachi: A Dog's Tale,8.1,7.8,8.3,8.0,7.7,8.0,7.7,8.2,8.0,7.6,8.4,7.9,8.5,8.3,8.2,7.3,7.9,8.0
Cool Hand Luke,8.1,8.4,8.1,8.0,8.1,8.1,8.7,8.1,8.0,8.1,8.0,7.6,8.0,7.9,8.1,8.0,8.3,7.9
Amores perros,8.1,8.3,8.1,8.1,8.0,8.1,8.6,8.1,8.1,8.0,8.1,7.3,8.1,8.1,8.0,7.3,8.0,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,8.3,8.2,8.0,7.7,8.0,8.3,8.2,8.0,7.7,8.2,8.1,8.4,8.2,8.1,7.8,8.1,8.0
La Haine,8.1,8.7,8.3,8.0,7.7,8.0,9.0,8.3,8.0,7.7,8.1,7.5,8.2,8.1,7.9,7.0,8.1,8.0
The 400 Blows,8.1,8.2,8.2,8.0,8.0,8.1,8.1,8.2,8.0,8.0,8.1,8.3,8.1,8.1,8.1,7.5,8.2,8.0
My Father and My Son,8.2,7.4,8.4,8.2,7.5,8.1,7.9,8.3,8.1,7.4,8.5,5.9,8.6,8.4,7.7,6.1,7.3,8.2
Persona,8.1,8.1,8.3,8.0,7.8,8.0,8.2,8.3,8.0,7.8,8.1,7.8,8.3,8.1,7.9,7.3,8.1,8.0
It Happened One Night,8.1,7.4,8.1,8.0,8.2,8.0,7.9,8.1,8.0,8.1,8.3,5.8,8.3,8.2,8.4,8.0,8.3,8.0
Life of Brian,8.0,8.2,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.2,8.0,7.7,7.9,8.0,8.1,7.7,7.8,8.1
The Sound of Music,8.1,7.9,8.1,8.0,8.2,7.9,8.0,7.9,7.8,8.0,8.4,7.6,8.4,8.4,8.7,7.6,8.3,7.9
Dersu Uzala,8.2,7.0,8.2,8.2,8.3,8.2,7.9,8.2,8.2,8.2,8.3,6.0,8.3,8.2,8.5,7.7,8.1,8.2
The Handmaiden,8.1,8.5,8.3,8.0,7.7,8.0,8.7,8.3,8.0,7.7,8.1,8.0,8.4,8.0,7.8,7.3,8.1,8.0
Gandhi,8.1,7.6,8.0,8.0,8.1,8.1,8.0,8.0,8.1,8.1,8.0,6.9,7.8,8.0,8.2,7.7,8.1,8.0
Aladdin,8.0,7.9,8.0,8.1,7.7,8.0,8.0,8.0,8.0,7.7,8.2,7.5,8.1,8.3,8.0,7.7,8.2,7.9
Jai Bhim,8.9,8.1,8.9,8.1,6.5,8.4,9.2,8.9,8.2,6.5,7.6,2.7,8.0,7.6,5.9,4.6,7.7,8.0
The Help,8.1,7.5,8.2,8.0,8.0,7.9,7.6,8.0,7.9,7.9,8.4,7.1,8.5,8.4,8.4,7.4,8.0,8.0
Beauty and the Beast,8.0,8.0,8.1,8.1,7.8,7.9,8.1,7.9,7.9,7.7,8.6,7.9,8.4,8.6,8.3,7.7,8.2,7.9
