,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
2001: A Space Odyssey,8.3,8.7,8.4,8.2,8.3,8.3,8.8,8.5,8.3,8.3,7.9,9.0,8.1,7.8,7.8,8.0,8.4,8.2
Eternal Sunshine of the Spotless Mind,8.3,8.6,8.4,8.4,7.9,8.3,8.7,8.4,8.3,7.9,8.3,8.1,8.3,8.4,7.9,7.6,8.4,8.3
Reservoir Dogs,8.3,8.5,8.3,8.3,8.2,8.3,8.6,8.4,8.3,8.2,8.1,8.3,8.2,8.1,8.1,8.0,8.3,8.3
Capernaum,8.4,7.6,8.5,8.3,8.2,8.3,8.2,8.4,8.3,8.2,8.7,6.0,8.8,8.7,8.6,7.2,8.2,8.3
Citizen Kane,8.3,8.7,8.4,8.2,8.4,8.3,8.7,8.4,8.2,8.4,8.1,8.4,8.0,8.0,8.3,8.3,8.5,8.2
Lawrence of Arabia,8.3,8.4,8.4,8.2,8.4,8.3,8.6,8.4,8.2,8.5,8.0,7.5,7.9,7.9,8.4,8.2,8.6,8.2
The Hunt,8.3,8.7,8.5,8.3,8.1,8.3,8.6,8.5,8.3,8.1,8.3,8.8,8.3,8.2,8.2,7.9,8.2,8.3
M,8.3,8.3,8.3,8.3,8.4,8.3,8.7,8.3,8.3,8.4,8.2,7.1,8.1,8.2,8.4,8.2,8.5,8.3
North by Northwest,8.3,8.5,8.2,8.2,8.5,8.3,8.6,8.3,8.2,8.5,8.2,7.2,8.0,8.1,8.5,8.4,8.5,8.2
Vertigo,8.3,8.7,8.3,8.2,8.3,8.3,8.9,8.4,8.2,8.3,8.2,7.9,8.2,8.1,8.3,8.3,8.4,8.2
Come and See,8.4,8.8,8.6,8.3,8.1,8.3,8.9,8.6,8.3,8.1,8.3,8.6,8.5,8.2,8.3,7.5,8.4,8.3
Amélie,8.3,8.2,8.2,8.3,8.3,8.3,8.3,8.1,8.3,8.3,8.5,8.1,8.4,8.6,8.4,7.7,8.4,8.3
A Clockwork Orange,8.3,8.8,8.4,8.3,8.1,8.3,8.9,8.5,8.3,8.1,8.1,8.2,8.3,8.1,7.7,7.9,8.3,8.3
Full Metal Jacket,8.3,8.3,8.3,8.3,8.2,8.3,8.2,8.3,8.3,8.3,8.1,8.7,8.1,8.1,8.1,8.3,8.4,8.2
Double Indemnity,8.3,8.8,8.3,8.3,8.4,8.3,9.2,8.3,8.3,8.4,8.1,7.2,8.0,8.0,8.3,8.2,8.5,8.2
The Apartment,8.3,8.0,8.5,8.3,8.2,8.3,8.6,8.5,8.3,8.2,8.1,6.4,8.2,8.1,8.2,8.0,8.4,8.2
Scarface,8.3,8.5,8.4,8.3,8.0,8.3,8.6,8.4,8.3,8.1,8.0,8.3,8.1,8.0,7.9,8.0,8.0,8.3
Ikiru,8.3,8.2,8.5,8.3,8.3,8.3,8.6,8.5,8.3,8.3,8.2,7.3,8.3,8.1,8.3,7.6,8.5,8.3
The Sting,8.3,8.0,8.3,8.2,8.3,8.3,8.1,8.3,8.3,8.3,8.2,7.4,8.1,8.1,8.4,8.0,8.4,8.2
To Kill a Mockingbird,8.3,8.0,8.2,8.2,8.5,8.2,8.3,8.2,8.2,8.5,8.4,7.2,8.2,8.3,8.9,8.3,8.5,8.2
Taxi Driver,8.2,8.7,8.3,8.2,8.3,8.3,8.7,8.4,8.3,8.3,8.0,8.6,8.0,8.0,8.0,8.3,8.4,8.2
Up,8.3,8.4,8.3,8.2,8.1,8.2,8.4,8.3,8.2,8.1,8.4,8.1,8.4,8.5,8.3,8.0,8.4,8.2
