,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
Once Upon a Time in America,"346,606",119,"34,677","147,070","60,959","227,725",91,"30,151","131,804","53,207","25,245",21,"3,752","13,479","6,733",721,"42,591","164,351"
Good Will Hunting,"947,654",323,"133,249","387,051","107,521","535,461",226,"101,109","310,313","86,060","128,057",67,"28,114","71,272","19,483",844,"151,847","360,795"
Your Name.,"257,266",431,"52,967","62,024","10,467","112,999",312,"39,447","49,957","8,687","27,354",84,"11,358","10,796","1,495",431,"16,739","80,367"
Toy Story 3,"822,812",677,"148,002","338,590","68,345","470,253",494,"110,696","269,543","55,652","118,449",132,"33,509","64,523","11,463",781,"125,773","318,292"
Requiem for a Dream,"828,462",250,"117,390","394,909","70,969","484,997",161,"84,060","314,714","58,483","123,866",61,"30,145","75,084","11,177",754,"121,535","361,737"
Singin' in the Rain,"239,441",125,"28,633","90,214","45,897","123,095",82,"18,661","63,420","34,837","48,177",33,"9,334","25,765","10,353",711,"54,322","89,759"
3 Idiots,"391,096",258,"82,355","136,460","14,773","218,314",208,"68,428","116,491","12,158","36,929",39,"12,436","18,407","2,349",412,"22,376","137,921"
Star Wars: Return of the Jedi,"1,034,678",628,"131,594","401,316","136,368","614,314",474,"108,521","343,399","116,385","96,099",99,"19,434","52,347","17,660",893,"178,790","375,396"
High and Low,"43,827",56,"5,424","17,437","8,231","28,559",35,"4,806","15,710","6,728","3,583",19,507,"1,546","1,389",413,"9,677","18,277"
2001: A Space Odyssey,"657,715",305,"78,239","255,938","106,883","406,669",233,"65,385","223,896","93,123","54,565",51,"10,840","28,701","11,919",833,"113,663","263,299"
Eternal Sunshine of the Spotless Mind,"989,948",341,"139,815","455,357","95,539","553,371",237,"97,015","347,355","76,396","169,011",73,"38,790","102,000","17,482",818,"151,690","419,223"
Reservoir Dogs,"999,650",364,"130,402","421,206","117,026","615,366",275,"108,700","364,687","100,648","88,638",60,"17,848","50,929","14,263",841,"155,474","402,647"
Capernaum,"86,713",70,"14,282","29,378","8,344","44,327",41,"10,365","23,233","6,653","11,369",23,"3,210","5,443","1,487",317,"5,129","35,988"
Citizen Kane,"437,380",185,"47,059","176,556","77,596","264,997",146,"38,386","148,992","65,067","46,664",31,"7,656","25,544","11,277",776,"97,957","168,503"
Lawrence of Arabia,"290,375",100,"25,973","113,150","64,181","184,713",67,"22,511","98,931","54,291","26,069",26,"3,014","12,979","8,885",724,"59,589","118,877"
The Hunt,"323,373",157,"55,218","135,000","30,140","189,189",107,"42,884","108,304","24,554","43,518",30,"10,868","24,628","4,978",565,"23,567","152,101"
M,"156,432",76,"17,442","66,130","28,119","97,859",52,"14,266","56,188","23,466","17,052",21,"2,888","9,242","4,237",612,"32,874","67,219"
North by Northwest,"324,094",117,"30,901","128,289","68,115","198,999",92,"25,277","108,316","56,541","35,720",22,"5,019","18,561","10,526",750,"73,225","129,850"
Vertigo,"397,384",168,"49,524","155,203","67,429","232,536",124,"38,205","126,864","55,265","50,556",39,"10,180","26,478","11,083",781,"75,181","161,599"
Come and See,"76,829",83,"10,520","28,047","11,595","46,777",59,"9,139","25,055","9,914","5,629",21,"1,120","2,687","1,511",449,"10,210","33,623"
Amélie,"748,161",178,"95,578","342,506","91,952","398,629",100,"58,307","245,296","73,491","153,393",60,"34,782","92,426","16,668",726,"91,142","350,836"
A Clockwork Orange,"816,714",292,"105,541","350,484","104,076","485,509",204,"79,751","288,005","88,725","99,989",60,"22,757","57,686","13,504",831,"131,037","339,179"
Full Metal Jacket,"730,983",240,"86,084","311,643","101,061","471,770",191,"74,754","278,006","88,861","52,145",36,"9,110","29,513","10,484",829,"124,594","295,624"
Double Indemnity,"155,648",63,"16,385","61,936","32,053","94,896",47,"13,113","51,893","26,096","18,658",14,"3,001","9,421","5,469",639,"38,996","60,379"
The Apartment,"179,692",71,"18,317","72,388","36,168","105,693",52,"14,096","57,838","29,033","25,423",18,"3,896","13,779","6,570",663,"36,057","76,302"
Scarface,"820,820",308,"104,087","361,385","90,017","522,869",228,"88,421","321,273","77,785","62,698",50,"12,437","35,471","10,657",810,"118,611","338,118"
Ikiru,"77,501",50,"8,983","31,609","13,106","48,522",33,"7,773","27,921","10,773","6,872",15,"1,052","3,387","2,165",473,"16,043","31,800"
The Sting,"259,301",66,"21,378","99,433","62,222","165,263",48,"18,033","86,802","52,638","24,258",14,"2,967","11,517","8,599",711,"56,376","106,019"
To Kill a Mockingbird,"313,767",87,"38,348","125,479","56,806","178,372",64,"28,105","98,017","43,552","50,916",20,"9,577","26,217","12,411",722,"84,389","109,191"
Taxi Driver,"809,714",427,"112,550","328,021","96,312","490,896",343,"92,574","284,177","82,592","72,563",56,"16,586","39,586","11,955",822,"119,243","329,529"
Up,"1,024,962",735,"175,993","417,031","84,903","551,121",517,"122,936","317,778","68,003","170,776",160,"48,122","93,399","15,341",817,"138,713","397,942"
Heat,"641,545",181,"62,738","287,498","96,747","428,429",142,"56,256","262,097","84,723","39,365",27,"4,956","21,933","10,328",812,"99,044","280,825"
L.A. Confidential,"576,254",126,"57,507","255,390","98,857","374,911",88,"50,077","223,578","82,614","52,297",28,"6,327","28,983","14,599",792,"104,491","253,050"
Metropolis,"172,664",67,"18,889","71,662","32,373","105,199",46,"14,581","58,895","27,152","21,540",19,"3,927","11,909","4,758",653,"33,752","74,522"
A Separation,"243,026",71,"32,291","114,317","22,129","144,410",54,"25,668","92,368","17,721","32,982",13,"6,116","20,804","4,044",498,"20,924","111,119"
Incendies,"174,424",72,"26,741","73,838","20,054","104,113",51,"21,194","59,910","16,387","22,480",15,"4,796","12,832","3,290",483,"13,542","84,194"
Die Hard,"863,739",275,"91,687","376,852","125,761","548,607",211,"78,387","329,019","106,203","76,675",41,"11,316","43,154","17,293",893,"147,831","350,008"
Snatch,"843,174",200,"101,653","405,279","91,293","548,296",152,"86,019","350,477","78,383","78,735",31,"13,310","49,721","11,256",787,"111,728","383,101"
Hamilton,"90,310",174,"12,710","25,165","9,741","37,402",92,"8,478","18,449","6,762","14,234",55,"3,600","6,184","2,746",290,"16,752","21,951"
Bicycle Thieves,"161,928",85,"22,243","67,544","24,017","99,542",58,"17,912","56,740","20,063","18,524",25,"3,906","10,129","3,583",593,"27,179","71,649"
Indiana Jones and the Last Crusade,"744,076",275,"78,840","310,552","116,657","459,871",209,"65,986","266,199","98,203","72,254",50,"11,027","40,304","16,483",878,"139,369","288,396"
1917,"563,202",598,"87,211","164,998","52,321","285,997",442,"68,876","140,320","44,450","44,114",103,"12,767","20,083","6,200",631,"50,547","185,561"
Like Stars on Earth,"190,485",145,"37,594","68,939","8,545","107,498",114,"31,435","59,180","6,760","18,124",26,"5,513","9,118","1,636",341,"12,779","69,801"
Downfall,"352,510",92,"40,446","171,711","49,004","241,213",69,"34,619","151,318","43,245","30,189",15,"5,163","18,622","5,058",636,"36,325","186,830"
For a Few Dollars More,"253,663",111,"28,187","102,861","45,065","170,969",88,"25,530","95,248","40,557","13,151",18,"2,101","6,592","3,826",728,"39,532","112,560"
Batman Begins,"1,441,712",735,"212,665","607,663","126,759","868,985",598,"174,980","517,988","108,232","139,223",72,"31,722","81,395","16,277",905,"216,383","546,096"
Dangal,"185,839",171,"34,981","51,696","7,022","95,179",139,"30,126","44,688","5,752","13,472",22,"4,069","6,269","1,126",310,"13,661","55,059"
The Kid,"125,405",90,"18,981","49,033","18,466","76,218",68,"15,450","41,344","15,282","14,020",19,"3,171","7,203","2,884",602,"18,041","55,769"
Some Like It Hot,"264,183",86,"27,765","104,637","53,728","141,571",58,"18,092","75,295","41,692","50,961",24,"9,105","28,101","11,171",724,"52,162","111,866"
Spider-Man: No Way Home,"690,478","1,676","93,806","137,914","34,821","251,865","1,233","72,698","115,645","29,267","41,425",240,"13,748","17,745","4,297",494,"52,260","147,060"
The Father,"142,036",167,"21,413","44,517","15,111","71,996",130,"16,767","36,393","12,134","14,602",27,"3,560","7,017","2,528",379,"10,193","54,612"
All About Eve,"130,417",51,"12,217","49,582","30,531","70,329",33,"8,669","36,626","22,388","24,584",18,"3,351","12,452","7,705",638,"32,604","50,537"
Green Book,"472,929",330,"74,251","152,002","46,552","235,473",231,"53,970","119,952","36,398","57,413",57,"15,084","27,303","8,559",605,"37,159","173,597"
The Wolf of Wall Street,"1,362,758",700,"245,148","472,938","96,176","726,287",518,"188,031","381,757","79,044","160,623",113,"47,805","81,765","14,742",793,"123,277","471,735"
Judgment at Nuremberg,"76,983",21,"6,973","29,271","18,894","48,919",13,"5,901","25,375","15,637","7,959",8,959,"3,620","3,013",568,"15,534","33,242"
Ran,"124,332",53,"11,315","50,491","25,392","81,262",34,"10,103","45,715","21,944","8,653",16,"1,006","4,251","3,080",544,"23,997","54,162"
Unforgiven,"407,133",104,"36,308","168,490","84,515","276,353",82,"32,994","155,050","74,079","24,529",18,"2,656","11,587","9,117",781,"80,604","171,221"
Casino,"511,234",162,"50,872","226,304","75,645","334,710",120,"45,087","203,811","65,303","35,277",31,"4,388","19,647","9,081",793,"87,470","212,163"
Pan's Labyrinth,"660,826",165,"84,481","322,555","74,567","395,293",111,"60,421","252,644","61,171","106,664",38,"22,130","66,094","12,190",757,"105,519","301,558"
There Will Be Blood,"576,292",227,"67,935","271,183","69,227","378,590",176,"59,196","238,844","59,328","47,429",33,"7,024","29,235","8,756",745,"110,413","240,772"
The Sixth Sense,"977,177",282,"108,639","436,388","136,059","566,583",207,"80,984","342,884","108,698","147,037",60,"25,144","87,776","24,991",872,"165,264","403,064"
The Truman Show,"1,051,834",568,"150,313","430,091","107,327","586,680",418,"111,614","344,569","88,090","140,057",98,"33,754","79,070","17,127",839,"141,954","416,495"
A Beautiful Mind,"918,795",243,"131,636","393,459","94,585","523,561",173,"98,225","311,800","75,439","133,047",45,"29,952","75,861","17,262",816,"115,324","376,680"
Monty Python and the Holy Grail,"535,452",207,"62,272","227,664","83,463","327,568",166,"49,990","189,321","70,921","61,245",33,"11,051","35,893","11,253",788,"116,636","207,735"
Yojimbo,"121,836",56,"12,314","52,214","21,019","79,707",43,"10,811","47,338","18,238","8,453",11,"1,303","4,367","2,492",539,"25,893","50,598"
The Treasure of the Sierra Madre,"124,033",39,"10,073","47,360","30,613","80,294",31,"8,691","42,135","26,420","10,178",7,"1,242","4,817","3,773",637,"32,825","47,309"
Shutter Island,"1,275,371",584,"214,481","515,786","97,134","709,924",425,"160,278","412,831","79,579","170,694",104,"46,623","94,957","15,547",842,"135,702","508,791"
Jurassic Park,"969,340",579,"121,495","396,362","107,900","556,269",422,"95,894","328,921","89,524","108,724",106,"22,229","61,570","16,393",899,"157,380","355,297"
Rashomon,"166,760",80,"19,818","71,431","26,172","105,896",61,"16,702","62,439","22,136","15,310",15,"2,738","8,281","3,656",580,"33,855","70,329"
The Great Escape,"242,431",73,"20,691","96,354","54,558","160,775",60,"18,391","86,987","47,426","17,501",11,"1,954","8,400","6,312",732,"47,793","102,867"
Kill Bill: Vol. 1,"1,094,721",418,"141,795","476,281","120,681","647,657",292,"109,604","392,255","102,038","130,229",82,"27,785","77,223","16,406",862,"158,062","452,947"
No Country for Old Men,"951,876",365,"119,414","420,617","112,316","601,665",290,"101,577","364,848","95,680","84,531",46,"14,276","50,380","14,604",824,"156,248","390,499"
Finding Nemo,"1,027,108",617,"174,320","411,273","93,879","545,367",424,"121,890","308,918","74,210","176,303",148,"47,679","96,884","18,022",821,"149,689","397,453"
The Elephant Man,"238,663",66,"25,015","100,219","47,133","148,404",45,"19,722","83,346","38,697","29,685",17,"4,761","15,779","7,741",681,"39,679","111,213"
Chinatown,"322,698",115,"35,775","135,882","57,831","209,170",85,"30,466","119,349","49,590","28,266",26,"4,565","15,004","7,341",739,"67,007","135,308"
Raging Bull,"349,309",141,"38,129","152,254","54,321","232,272",111,"34,023","138,988","47,659","21,698",24,"3,279","11,680","5,810",730,"67,840","146,352"
Gone with the Wind,"312,459",95,"28,508","125,952","65,415","151,395",56,"16,681","80,030","47,368","77,065",33,"11,240","44,436","17,064",737,"69,658","119,422"
The Thing,"415,044",198,"44,718","174,360","70,377","270,098",149,"38,383","155,041","61,624","32,010",39,"5,299","17,239","7,632",798,"76,044","173,415"
V for Vendetta,"1,106,709",340,"163,497","515,926","102,497","679,880",258,"125,500","424,020","87,046","142,757",56,"34,249","85,721","13,710",849,"161,550","473,236"
Inside Out,"697,404",715,"129,331","237,328","47,718","340,064",471,"88,544","179,249","38,076","111,409",191,"36,576","53,703","8,574",710,"70,519","244,444"
"Lock, Stock and Two Smoking Barrels","575,218",102,"60,894","285,324","72,232","387,443",79,"52,928","251,214","62,491","48,621",15,"6,755","30,792","8,575",751,"74,168","278,548"
Dial M for Murder,"173,948",87,"20,789","69,757","32,082","104,821",64,"16,467","57,435","25,970","22,277",20,"3,972","11,578","5,619",698,"31,886","75,438"
The Secret in Their Eyes,"207,852",38,"23,734","102,963","27,713","130,799",27,"18,437","82,719","22,845","29,874",10,"4,764","18,888","4,391",523,"16,669","111,243"
Everything Everywhere All at Once,"160,752",201,"25,037","45,206","12,135","75,333",159,"19,679","37,714","10,116","13,767",24,"4,111","6,432","1,661",249,"19,977","46,488"
Howl's Moving Castle,"385,313",242,"65,465","154,116","29,802","188,429",147,"40,646","111,350","23,413","74,747",70,"22,691","40,450","5,785",595,"47,912","154,943"
The Bridge on the River Kwai,"218,839",62,"15,414","82,894","56,851","144,630",43,"13,782","74,962","49,408","15,853",17,"1,373","7,099","6,624",700,"44,997","91,886"
"Three Billboards Outside Ebbing, Missouri","495,715",180,"78,268","173,356","54,567","265,890",135,"58,890","138,028","43,419","65,043",32,"16,596","31,826","9,865",675,"50,625","194,013"
