,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
The Passion of Joan of Arc,"54,207",38,"6,500","20,562","9,555","32,102",25,"5,421","17,610","7,745","5,586",11,955,"2,728","1,675",455,"11,617","21,367"
Tokyo Story,"61,061",48,"7,856","23,338","9,905","36,548",30,"6,527","20,149","8,127","6,028",18,"1,166","2,932","1,627",453,"10,203","26,360"
Dead Poets Society,"479,176",235,"67,734","182,095","65,932","250,701",143,"45,846","136,481","52,387","80,342",67,"19,765","42,967","12,300",758,"73,594","191,246"
Hotel Rwanda,"353,240",58,"38,177","178,587","46,720","226,985",41,"29,944","148,167","38,185","46,516",15,"7,565","28,603","7,860",667,"62,114","163,444"
Rocky,"565,972",257,"67,761","238,481","79,805","367,435",201,"59,710","214,370","68,719","40,041",35,"6,488","21,130","9,726",830,"93,937","225,523"
Platoon,"409,938",87,"35,467","176,927","80,811","277,815",66,"31,914","161,253","70,272","27,403",16,"2,881","13,792","9,336",791,"78,469","176,562"
Le Mans '66,"376,438",321,"57,609","117,539","37,320","202,307",258,"47,760","100,869","31,282","28,417",31,"6,680","13,612","4,914",590,"38,902","126,584"
Pather Panchali,"32,282",32,"4,736","12,005","5,082","20,366",24,"4,255","10,842","4,104","2,482",8,405,"1,052",923,324,"5,644","12,681"
Stand by Me,"397,471",140,"42,869","166,402","70,022","231,436",96,"31,850","131,098","55,959","59,944",32,"10,108","33,355","12,990",782,"86,863","155,148"
The Terminator,"850,488",336,"92,426","372,350","122,192","547,848",277,"80,220","327,411","104,513","70,456",43,"10,313","40,154","15,609",887,"135,953","353,969"
Spotlight,"463,423",109,"79,101","174,503","44,206","255,984",72,"59,804","138,298","35,195","64,489",29,"17,031","33,096","8,010",705,"50,401","183,753"
Rush,"473,325",109,"79,985","201,441","44,905","306,847",83,"68,257","174,528","38,599","43,288",13,"10,020","24,047","5,418",665,"40,054","208,072"
Network,"158,293",53,"15,395","68,954","32,224","105,965",38,"13,407","61,371","27,016","13,744",12,"1,714","6,835","4,684",651,"38,817","65,328"
Logan,"741,526",458,"126,840","241,341","56,111","410,302",379,"105,112","205,990","48,130","63,027",43,"17,735","30,938","6,754",763,"77,434","247,462"
Into the Wild,"616,641",112,"93,782","295,062","56,789","372,157",74,"68,216","235,609","46,454","94,493",24,"23,417","55,815","9,284",700,"75,601","287,613"
The Wizard of Oz,"394,209",165,"46,735","160,383","69,636","212,361",110,"31,330","115,978","53,827","76,454",44,"14,478","42,570","14,811",800,"111,375","128,182"
Ratatouille,"716,580",568,"119,129","304,614","64,582","391,682",401,"82,179","232,296","51,954","121,363",117,"33,049","68,346","11,525",782,"105,111","298,284"
Groundhog Day,"621,146",184,"67,589","274,152","99,691","382,427",146,"53,059","225,402","82,892","78,450",27,"13,231","45,501","15,174",845,"116,532","261,581"
Before Sunset,"260,330",107,"38,287","121,144","28,361","142,076",70,"25,502","87,466","22,024","52,811",30,"11,843","32,196","5,881",580,"31,893","125,453"
The Exorcist,"397,650",182,"43,479","179,556","65,019","245,922",122,"33,448","146,582","54,109","52,503",47,"8,970","30,845","9,916",790,"78,471","170,291"
The Best Years of Our Lives,"64,002",17,"4,508","22,674","18,659","38,257",11,"3,735","18,702","14,502","8,704",6,708,"3,767","3,920",535,"20,016","22,133"
The Incredibles,"721,229",539,"118,858","295,182","75,082","408,995",398,"86,313","234,442","61,916","104,951",99,"28,852","56,987","11,908",817,"124,416","286,226"
To Be or Not to Be,"36,693",32,"3,507","13,571","9,982","23,362",18,"2,852","11,408","8,230","4,355",14,596,"1,989","1,615",482,"8,176","16,545"
The Battle of Algiers,"59,716",23,"6,235","26,099","12,215","40,640",13,"5,335","23,330","10,425","5,120",10,796,"2,518","1,611",483,"13,451","26,570"
Rebecca,"136,087",59,"12,808","53,402","30,204","74,553",36,"9,181","39,993","22,395","24,692",21,"3,410","12,821","7,348",643,"28,309","57,965"
The Grapes of Wrath,"92,575",23,"7,647","35,161","24,306","57,991",17,"6,384","29,702","19,771","11,001",6,"1,168","5,118","4,243",584,"26,869","33,814"
Hachi: A Dog's Tale,"280,876",149,"55,086","109,041","23,208","148,623",90,"37,246","82,239","17,627","51,508",45,"16,560","25,319","5,181",569,"18,709","123,091"
Cool Hand Luke,"175,742",47,"13,141","70,343","43,163","115,274",30,"11,429","62,043","36,923","15,388",14,"1,506","7,611","5,633",664,"51,187","62,638"
Amores perros,"238,701",45,"21,419","124,338","33,926","151,541",29,"16,659","100,238","28,145","33,563",12,"4,267","22,575","5,214",546,"29,712","125,321"
Pirates of the Caribbean: The Curse of the Black Pearl,"1,107,339",530,"176,870","476,062","106,036","630,072",384,"131,190","371,646","84,887","170,473",86,"41,497","98,628","19,347",879,"167,664","451,696"
La Haine,"170,514",93,"23,547","76,478","19,372","107,270",69,"19,124","65,853","16,677","16,589",18,"3,749","9,607","2,373",506,"14,709","87,451"
The 400 Blows,"116,672",58,"15,765","48,455","18,282","71,033",36,"12,334","40,371","15,274","13,987",16,"3,083","7,518","2,738",543,"21,378","51,549"
My Father and My Son,"86,166",33,"13,541","36,111","6,141","48,235",22,"10,335","29,292","4,953","11,265",9,"2,945","6,329","1,101",265,"4,975","39,869"
Persona,"117,100",88,"18,866","47,260","14,685","67,580",57,"14,253","38,057","11,882","16,245",28,"4,152","8,645","2,607",515,"17,405","52,627"
It Happened One Night,"103,141",40,"10,734","39,600","22,314","56,940",28,"7,746","29,906","17,019","17,929",11,"2,809","9,284","4,989",609,"27,294","37,750"
Life of Brian,"395,697",138,"45,105","165,454","67,883","248,587",105,"37,010","139,635","58,415","41,498",24,"7,171","23,863","8,367",747,"53,442","186,793"
The Sound of Music,"230,277",108,"26,510","86,824","44,187","101,388",66,"13,317","51,151","31,418","62,981",31,"12,357","34,451","11,961",691,"53,762","81,775"
Dersu Uzala,"29,064",17,"2,190","12,162","7,393","20,073",7,"1,954","11,016","6,409","2,182",10,201,"1,025",893,349,"4,444","15,422"
The Handmaiden,"141,927",87,"25,046","50,912","12,602","74,119",48,"17,729","40,160","10,334","20,364",31,"6,488","9,891","2,000",470,"12,746","59,573"
Gandhi,"229,805",35,"24,953","96,914","45,977","149,382",25,"20,839","83,169","38,151","24,989",10,"3,783","12,761","7,131",677,"41,067","101,275"
Aladdin,"410,245",284,"61,737","181,999","35,170","211,469",189,"39,717","130,943","27,512","80,987",72,"20,138","48,433","7,061",763,"77,303","155,238"
Jai Bhim,"193,435",283,"15,488","15,052","1,480","36,629",262,"14,433","14,107","1,328","1,622",19,597,626,117,100,"3,115","12,515"
The Help,"453,740",112,"72,290","201,118","54,127","209,280",59,"36,210","123,418","36,325","136,403",45,"34,348","74,648","16,774",673,"70,880","186,407"
Beauty and the Beast,"448,973",272,"70,251","197,945","41,136","215,435",173,"40,839","130,849","30,729","109,477",85,"27,670","64,451","9,737",754,"85,313","170,255"
